	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	salalp_std0	23.3132998224078	1.6
	A02	FAM		Std	salalp_std0	23.1573042464885	1.6
	A03	FAM		Std	salalp_std0	23.2660858281903	1.6
	A04	FAM		Unkn	569	37.4868933604658	0.000109617157150665
	A05	FAM		Unkn	569	NaN	NaN
	A06	FAM		Unkn	569	NaN	NaN
	A07	FAM		Unkn	569	NaN	NaN
	A08	FAM		Unkn	569	38.9055468173668	4.10147993149451E-05
	A09	FAM		Unkn	569	NaN	NaN
	A10	FAM		Unkn	594	37.4431339002066	0.000112992017973599
	A11	FAM		Unkn	594	37.3212559512148	0.000122949405811909
	A12	FAM		Unkn	594	37.731185301076	9.25464738939303E-05
	B01	FAM		Std	salalp_std1	27.2762253181442	0.16
	B02	FAM		Std	salalp_std1	27.1329820699964	0.16
	B03	FAM		Std	salalp_std1	27.2155385041687	0.16
	B04	FAM		Unkn	572	37.0043335354416	0.000153145040285435
	B05	FAM		Unkn	572	37.0428053420738	0.000149116260454418
	B06	FAM		Unkn	572	36.4949838728786	0.000217966439454239
	B07	FAM		Unkn	572	36.638843543016	0.000197285720285805
	B08	FAM		Unkn	572	NaN	NaN
	B09	FAM		Unkn	572	37.1386204408776	0.000139537148124667
	B10	FAM		Unkn	594	38.0089918509047	7.63405234942451E-05
	B11	FAM		Unkn	594	37.2236529690014	0.000131552665379854
	B12	FAM		Unkn	594	38.3501056877831	6.02696018551015E-05
	C01	FAM		Std	salalp_std2	30.9235437880732	0.016
	C02	FAM		Std	salalp_std2	30.4993955395493	0.016
	C03	FAM		Std	salalp_std2	30.7637269869511	0.016
	C04	FAM		Unkn	575	NaN	NaN
	C05	FAM		Unkn	575	38.6474173788227	4.90482579969496E-05
	C06	FAM		Unkn	575	37.8127659870819	8.74598047100086E-05
	C07	FAM		Unkn	575	36.4005140359396	0.000232712622403937
	C08	FAM		Unkn	575	37.4334284877768	0.000113754495597384
	C09	FAM		Unkn	575	37.1907381492427	0.000134587656739231
	C10	FAM		Unkn	591	34.7375150216749	0.000736703406681125
	C11	FAM		Unkn	591	34.5764285944907	0.000823703626833404
	C12	FAM		Unkn	591	34.4570979205212	0.00089471157417759
	D01	FAM		Std	salalp_std3	34.0009799268408	0.0016
	D02	FAM		Std	salalp_std3	33.3771389182119	0.0016
	D03	FAM		Std	salalp_std3	33.6047586218492	0.0016
	D04	FAM		Unkn	578	NaN	NaN
	D05	FAM		Unkn	578	NaN	NaN
	D06	FAM		Unkn	578	NaN	NaN
	D07	FAM		Unkn	578	NaN	NaN
	D08	FAM		Unkn	578	40.1372250040003	1.74691626472912E-05
	D09	FAM		Unkn	578	NaN	NaN
	D10	FAM		Unkn	591	34.1786981018587	0.00108509144628726
	D11	FAM		Unkn	591	34.7715237295204	0.000719544895941436
	D12	FAM		Unkn	591	34.3646163646906	0.000953926691311394
	E01	FAM		Std	salalp_std4	36.3275978456811	0.00016
	E02	FAM		Std	salalp_std4	36.5287154529926	0.00016
	E03	FAM		Std	salalp_std4	37.0441560308245	0.00016
	E04	FAM		Neg Ctrl	585	NaN	NaN
	E05	FAM		Neg Ctrl	585	NaN	NaN
	E06	FAM		Neg Ctrl	585	NaN	NaN
	E07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E10	FAM		Neg Ctrl	595	39.1057003333487	3.5703041156062E-05
	E11	FAM		Neg Ctrl	595	38.1136713590087	7.0999005382326E-05
	E12	FAM		Neg Ctrl	595	39.0885760055017	3.61292300839119E-05
	F02	FAM		Std	salalp_std5	NaN	1.6E-05
	F03	FAM		Std	salalp_std5	NaN	1.6E-05
	F04	FAM		Unkn	581	36.038806599427	0.000299002149774658
	F05	FAM		Unkn	581	36.708284010007	0.000188017306952384
	F06	FAM		Unkn	581	35.5179463929084	0.000428968157367056
	F07	FAM		Unkn	581	37.0745815902847	0.000145868686473873
	F08	FAM		Unkn	581	36.9996717920537	0.000153640555595178
	F09	FAM		Unkn	581	35.6199485945102	0.000399694259464887
	G01	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G02	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G03	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G04	FAM		Unkn	584	36.5986555963578	0.000202857023864548
	G05	FAM		Unkn	584	38.608776153522	5.03793437418745E-05
	G06	FAM		Unkn	584	38.928613236401	4.03644320982617E-05
	G07	FAM		Unkn	584	40.4646769977251	1.39228053940832E-05
	G08	FAM		Unkn	584	37.6573401852932	9.7405450957991E-05
	G09	FAM		Unkn	584	37.7529502145578	9.1161154133412E-05
	H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM		Unkn	588	24.0865977323353	1.18206834166386
	H05	FAM		Unkn	588	24.0262645290729	1.23253600956123
	H06	FAM		Unkn	588	24.1214674044624	1.15384826463657
	H07	FAM		Unkn	588	24.0284077084997	1.23070689957989
	H08	FAM		Unkn	588	24.1374674714213	1.14112585805081
	H09	FAM		Unkn	588	24.1394478408621	1.13956096044178
