Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std	salalp_std0	22.07370817	1.6
A02	FAM		Std	salalp_std0	21.52289493	1.6
A03	FAM		Std	salalp_std0	21.96302989	1.6
A04	FAM		Unkn	567	NaN	NaN
A05	FAM		Unkn	567	NaN	NaN
A06	FAM		Unkn	567	NaN	NaN
A07	FAM		Unkn	568	NaN	NaN
A08	FAM		Unkn	568	NaN	NaN
A09	FAM		Unkn	568	36.49142801	6.66E-05
A10	FAM		Unkn	589	33.32342994	0.00059827
A11	FAM		Unkn	589	35.31331712	0.000150663
A12	FAM		Unkn	589	34.64108167	0.000240064
B01	FAM		Std	salalp_std1	25.21503695	0.16
B02	FAM		Std	salalp_std1	25.14086747	0.16
B03	FAM		Std	salalp_std1	25.55698797	0.16
B04	FAM		Unkn	570	35.46677995	0.000135462
B05	FAM		Unkn	570	36.54811352	6.40E-05
B06	FAM		Unkn	570	34.03779572	0.000364667
B07	FAM		Unkn	571	37.64938874	2.98E-05
B08	FAM		Unkn	571	36.8418833	5.22E-05
B09	FAM		Unkn	571	NaN	NaN
B10	FAM		Unkn	590	34.73753627	0.000224542
B11	FAM		Unkn	590	34.28532663	0.000307184
B12	FAM		Unkn	590	34.27165534	0.000310108
C01	FAM		Std	salalp_std2	28.69214857	0.016
C02	FAM		Std	salalp_std2	28.62388962	0.016
C04	FAM		Unkn	573	NaN	NaN
C05	FAM		Unkn	573	37.61226412	3.06E-05
C06	FAM		Unkn	573	35.52920914	0.000129727
C07	FAM		Unkn	574	35.81289798	0.000106573
C08	FAM		Unkn	574	37.24356019	3.95E-05
C09	FAM		Unkn	574	NaN	NaN
C10	FAM		Unkn	592	37.88912839	2.53E-05
C11	FAM		Unkn	592	NaN	NaN
C12	FAM		Unkn	592	NaN	NaN
D01	FAM		Std	salalp_std3	32.2701743	0.0016
D02	FAM		Std	salalp_std3	31.81483809	0.0016
D04	FAM		Unkn	576	37.41084879	3.52E-05
D05	FAM		Unkn	576	37.36731478	3.63E-05
D06	FAM		Unkn	576	34.39459738	0.000284781
D07	FAM		Unkn	577	NaN	NaN
D08	FAM		Unkn	577	35.07429666	0.000177805
D09	FAM		Unkn	577	34.72658371	0.000226253
D10	FAM		Unkn	593	NaN	NaN
D11	FAM		Unkn	593	37.25572626	3.92E-05
D12	FAM		Unkn	593	37.04001029	4.55E-05
E03	FAM		Std	salalp_std4	34.90778446	0.00016
E04	FAM		Neg Ctrl	nc_ext	NaN	NaN
E05	FAM		Neg Ctrl	nc_ext	NaN	NaN
E06	FAM		Neg Ctrl	nc_ext	NaN	NaN
E07	FAM		Neg Ctrl	nc_plt	NaN	NaN
E08	FAM		Neg Ctrl	nc_plt	NaN	NaN
E09	FAM		Neg Ctrl	nc_plt	NaN	NaN
F02	FAM		Std	salalp_std5	NaN	1.60E-05
F04	FAM		Unkn	579	31.58790768	0.001991743
F05	FAM		Unkn	579	31.7506024	0.001779375
F06	FAM		Unkn	579	32.55338834	0.001020129
F07	FAM		Unkn	580	35.62964342	0.000121005
F08	FAM		Unkn	580	34.1481521	0.000337818
F09	FAM		Unkn	580	37.34855123	3.68E-05
G04	FAM		Unkn	582	35.47616294	0.000134585
G05	FAM		Unkn	582	NaN	NaN
G06	FAM		Unkn	582	35.40549342	0.00014134
G07	FAM		Unkn	583	NaN	NaN
G08	FAM		Unkn	583	NaN	NaN
G09	FAM		Unkn	583	36.73901713	5.61E-05
H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
H04	FAM		Unkn	586	21.02964232	2.998659577
H05	FAM		Unkn	586	21.42412644	2.281394006
H06	FAM		Unkn	586	21.31264969	2.464626794
H07	FAM		Unkn	587	24.93730699	0.199915925
H08	FAM		Unkn	587	24.89065623	0.20648464
H09	FAM		Unkn	587	25.02662813	0.18791638
