	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	oncgor_std1	20.0452710467659	15.4
	A02	FAM		Std	oncgor_std1	20.3132750857112	15.4
	A03	FAM		Std	oncgor_std1	20.2114853498097	15.4
	A04	FAM		Unkn	567	28.1027940189709	0.0705324880261204
	A05	FAM		Unkn	567	27.6073047608384	0.0994415668862279
	A06	FAM		Unkn	567	28.1731664677799	0.0671741089655881
	A07	FAM		Unkn	567	27.9273295923614	0.0796557108403508
	A08	FAM		Unkn	567	28.06068339269	0.0726218993733407
	A09	FAM		Unkn	567	28.2073646116883	0.0656002893128956
	A10	FAM		Unkn	574	23.4744559477899	1.74525864698673
	A11	FAM		Unkn	574	23.5977048510912	1.6023330933417
	A12	FAM		Unkn	574	23.3797277244068	1.86371701228944
	B01	FAM		Std	oncgor_std2	24.0860326014816	1.54
	B02	FAM		Std	oncgor_std2	23.7034760793374	1.54
	B03	FAM		Std	oncgor_std2	24.0362117707368	1.54
	B04	FAM		Unkn	568	28.0373892992349	0.0738041598680889
	B05	FAM		Unkn	568	27.6859945062161	0.0941621899987099
	B06	FAM		Unkn	568	28.0728547904076	0.0720117087560256
	B07	FAM		Unkn	568	28.2924764567942	0.0618416148470528
	B08	FAM		Unkn	568	28.2007968255422	0.0658996551581748
	B09	FAM		Unkn	568	28.0477157541969	0.0732776979822368
	B10	FAM		Unkn	574	23.1749990463169	2.14792136586646
	B11	FAM		Unkn	574	23.0146255217135	2.40050502278072
	B12	FAM		Unkn	574	23.4043950406231	1.83211736418326
	C01	FAM		Std	oncgor_std3	27.1892614809765	0.154
	C02	FAM		Std	oncgor_std3	26.7260059733373	0.154
	C03	FAM		Std	oncgor_std3	26.5834432081566	0.154
	C04	FAM		Unkn	569	27.1130783013784	0.14007689885908
	C05	FAM		Unkn	569	27.1074962394782	0.140620011819611
	C06	FAM		Unkn	569	26.9387613849088	0.158069742975926
	C07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	C08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	C09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	C10	FAM		Unkn	575	23.63489108829	1.56155399784117
	C11	FAM		Unkn	575	23.434581584659	1.79417548409324
	C12	FAM		Unkn	575	23.9929113434915	1.21833450650514
	D01	FAM		Unkn	oncgor_std4	31.4572533132724	0.00689366112334225
	D02	FAM		Unkn	oncgor_std4	32.6140858908664	0.00309142087053188
	D03	FAM		Unkn	oncgor_std4	32.6992989331573	0.00291408847747957
	D04	FAM		Unkn	569	26.7197296575033	0.18398966419972
	D05	FAM		Unkn	569	26.7622192163451	0.178649144402132
	D06	FAM		Unkn	569	26.9563739978993	0.156151461585463
	D07	FAM		Neg Ctrl	nc_samp_585	NaN	NaN
	D08	FAM		Neg Ctrl	nc_samp_585	NaN	NaN
	D09	FAM		Neg Ctrl	nc_samp_585	NaN	NaN
	D10	FAM		Unkn	575	23.3771758649695	1.86701697739039
	D11	FAM		Unkn	575	23.3396469682717	1.91622820699056
	D12	FAM		Unkn	575	23.5998697774012	1.59993006726472
	E01	FAM		Unkn	oncgor_std5	35.6294725868017	0.00038221232126661
	E02	FAM		Unkn	oncgor_std5	NaN	NaN
	E03	FAM		Unkn	oncgor_std5	NaN	NaN
	E04	FAM		Unkn	570	24.2493371036959	1.01991389263106
	E05	FAM		Unkn	570	25.0290893426331	0.594019445305399
	E06	FAM		Unkn	570	25.100584243175	0.565295374504728
	E07	FAM		Unkn	570	25.1070374517678	0.562772076900926
	E08	FAM		Unkn	570	24.7502125359276	0.720714263995759
	E09	FAM		Unkn	570	25.0532950825518	0.584134627060403
	E10	FAM		Unkn	537 (virik)	NaN	NaN
