	Data Set	Target	Sample	Control	Relative Quantity	Relative Quantity(lg)	Relative Quantity SD	Corrected Relative Quantity SD	SD RQ(lg)	Relative Quantity SEM	Corrected Relative Quantity SEM	SEM RQ(lg)	Relative Quantity 95% CI Low	Relative Quantity 95% CI High	Unscaled Expression	Unscaled Expression(lg)	Unscaled Expression SD	Corrected Unscaled Expression SD	SD Unscaled Expression(lg)	Unscaled Expression SEM	Corrected Unscaled Expression SEM	SEM Unscaled Expression(lg)	Expression	Expression(lg)	Expression SD	Corrected Expression SD	SD Expression(lg)	Expression SEM	Corrected Expression SEM	SEM Expression(lg)	Expression 95% CI Low	Expression 95% CI High	Wells	Mean Cq	Cq SD	Cq SEM	P-Value
	1-FAM	NA	546		0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN
	1-FAM	NA	547		0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN
	1-FAM	NA	548		0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN
	1-FAM	NA	549		0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN
	1-FAM	NA	576		0.788821562060239	-0.342229107253409	0.146672426980111	0.146784229468723	NaN	0.0598787675728161	0.0599244107476615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	21.8816310597958	0.268208960212492	0.10949584949384	NaN
	1-FAM	NA	577		0.159565218918056	-2.64778187918453	0.015281953609723	0.0177171956508453	NaN	0.00623883143611748	0.00723301483627136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	24.1868071473271	0.138147879190116	0.056398635510573	NaN
	1-FAM	NA	578		0.132960441443367	-2.91093101775146	0.0216940945078137	0.0231964002678507	NaN	0.00885657699597644	0.00946989075426556	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	24.4499132922239	0.235354581549946	0.0960831055706031	NaN
	1-FAM	NA	579		0.000523975162457954	-10.8982139529928	0.000135841670588996	0.000182025541326831	NaN	5.54571297917127E-05	7.43116160674381E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	32.4358912541352	0.373960636630069	0.152668790605004	NaN
	1-FAM	NA	580		0.000353309363013139	-11.4667803971093	3.37466992579902E-05	9.23473734208061E-05	NaN	1.37770322808726E-05	3.77006573278721E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	33.0043648050799	0.137777954234675	0.0562476142799146	NaN
	1-FAM	NA	581		0.000250581658678764	-11.9624315590699	9.52259943628461E-05	0.000114512898441602	NaN	3.88758494063534E-05	4.67496950248461E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	33.4999349868683	0.548163121286379	0.2237866571605	NaN
