Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std		21.9357941734561	0.54
A02	FAM		Std		21.9178772957204	0.54
A03	FAM		Std		22.1590779197528	0.54
A04	FAM		Unkn	569	33.5504868321637	0.000237688977641857
A05	FAM		Unkn	569	33.4112673564164	0.000261117545116541
A06	FAM		Unkn	569	33.5785674700128	0.000233224523275916
A07	FAM		Unkn	594	NaN	NaN
A08	FAM		Unkn	594	NaN	NaN
A09	FAM		Unkn	594	NaN	NaN
B01	FAM		Std		25.3432778714295	0.054
B02	FAM		Std		25.3022994773805	0.054
B03	FAM		Std		25.3195647953076	0.054
B04	FAM		Unkn	572	31.0455129533185	0.00129005679224155
B05	FAM		Unkn	572	30.8105681179308	0.00151184727618324
B06	FAM		Unkn	572	31.1277440233575	0.00122037706361899
B07	FAM		Unkn	NC Plate	NaN	NaN
B08	FAM		Unkn	NC Plate	NaN	NaN
B09	FAM		Unkn	NC Plate	NaN	NaN
C01	FAM		Std		29.3233228523905	0.0054
C02	FAM		Std		29.4352687469805	0.0054
C03	FAM		Std		29.5532097040104	0.0054
C04	FAM		Unkn	575	31.2935869716623	0.00109108734787161
C05	FAM		Unkn	575	31.3005110511906	0.00108599790806235
C06	FAM		Unkn	575	31.6188962385778	0.000875911995141086
D01	FAM		Std		32.2127761493794	0.00054
D02	FAM		Std		32.5646400225912	0.00054
D03	FAM		Std		32.1101021853925	0.00054
D04	FAM		Unkn	578	32.5587790423146	0.000464337505948845
D05	FAM		Unkn	578	32.5301469404321	0.000473402245259843
D06	FAM		Unkn	578	33.0026386949196	0.000344087623111661
E01	FAM		Std		35.2109186790848	5.4E-05
E04	FAM		Unkn	581	33.6070848463485	0.000228776445999296
E05	FAM		Unkn	581	34.1425104686421	0.000159365490309953
E06	FAM		Unkn	581	35.492115977142	6.40639542575924E-05
F01	FAM		Std		NaN	5.4E-06
F02	FAM		Std		NaN	5.4E-06
F03	FAM		Std		NaN	5.4E-06
F04	FAM		Unkn	584	36.1190175949881	4.195375023904E-05
F05	FAM		Unkn	584	36.6490259042356	2.93320505457753E-05
F06	FAM		Unkn	584	35.010188654736	8.87037631809799E-05
G01	FAM		Neg Ctrl	exBLK	NaN	NaN
G02	FAM		Neg Ctrl	exBLK	NaN	NaN
G03	FAM		Neg Ctrl	exBLK	NaN	NaN
G04	FAM		Unkn	588	37.56498187572	1.580274068227E-05
G05	FAM		Unkn	588	NaN	NaN
G06	FAM		Unkn	588	40.4496785564739	2.25307920668543E-06
H01	FAM		Unkn	MM NC	NaN	NaN
H02	FAM		Unkn	MM NC	NaN	NaN
H03	FAM		Unkn	MM NC	NaN	NaN
H04	FAM		Unkn	591	NaN	NaN
H05	FAM		Unkn	591	NaN	NaN
H06	FAM		Unkn	591	NaN	NaN
