	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	saltru_std1	24.1696829573926	0.38
	A04	FAM		Unkn	567	31.5786547261906	0.00267306407622111
	A05	FAM		Unkn	567	31.6228370968927	0.00259236764485879
	A06	FAM		Unkn	567	31.0735416771896	0.0037949592633313
	A07	FAM		Unkn	568	31.0067520734362	0.0039749509719405
	A08	FAM		Unkn	568	31.7078126889107	0.00244394955458582
	A09	FAM		Unkn	568	31.6530890703701	0.0025385238166701
	A10	FAM		Unkn	589	NaN	NaN
	A11	FAM		Unkn	589	NaN	NaN
	A12	FAM		Unkn	589	NaN	NaN
	B01	FAM		Std	saltru_std2	28.0021908707321	0.038
	B03	FAM		Std	saltru_std2	28.03219019795	0.038
	B04	FAM		Unkn	570	30.9080754557943	0.00425661572705572
	B05	FAM		Unkn	570	30.8321168689836	0.00448695638802466
	B06	FAM		Unkn	570	30.8737539011873	0.00435919220267594
	B07	FAM		Unkn	571	30.9793250727318	0.00405131415958135
	B08	FAM		Unkn	571	30.6790901093671	0.00498954551260969
	B09	FAM		Unkn	571	30.9938863162439	0.00401059134298452
	B10	FAM		Unkn	590	34.3931430317598	0.000379283539557542
	B11	FAM		Unkn	590	NaN	NaN
	B12	FAM		Unkn	590	NaN	NaN
	C02	FAM		Std	saltru_std3	30.8072719153449	0.0038
	C04	FAM		Unkn	573	29.7161878294308	0.00973188899581108
	C05	FAM		Unkn	573	30.5137923569515	0.00559586918335644
	C06	FAM		Unkn	573	30.8088944519077	0.0045598346351814
	C07	FAM		Unkn	574	29.8546091030583	0.00884074465775546
	C08	FAM		Unkn	574	30.9009229056736	0.00427779147276177
	C09	FAM		Unkn	574	29.9598738045553	0.00821809381821725
	C10	FAM		Unkn	592	NaN	NaN
	C11	FAM		Unkn	592	43.9257117820754	5.08938600044366E-07
	C12	FAM		Unkn	592	NaN	NaN
	D03	FAM		Std	saltru_std4	NaN	0.00038
	D04	FAM		Unkn	576	29.0226981567806	0.0157454636168443
	D05	FAM		Unkn	576	28.783121948652	0.0185927304536356
	D06	FAM		Unkn	576	28.8211693204515	0.0181083532815603
	D07	FAM		Unkn	577	31.8345384773181	0.00223824670680078
	D08	FAM		Unkn	577	31.713208130832	0.00243481805758077
	D09	FAM		Unkn	577	31.5824139088896	0.00266610146881253
	D10	FAM		Unkn	593	NaN	NaN
	D11	FAM		Unkn	593	NaN	NaN
	D12	FAM		Unkn	593	NaN	NaN
	E01	FAM		Std	saltru_std5	NaN	3.8E-05
	E02	FAM		Std	saltru_std5	NaN	3.8E-05
	E03	FAM		Std	saltru_std5	NaN	3.8E-05
	E04	FAM		Neg Ctrl	nc_ext	NaN	NaN
	E05	FAM		Neg Ctrl	nc_ext	NaN	NaN
	E06	FAM		Neg Ctrl	nc_ext	NaN	NaN
	E07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	F01	FAM		Std	saltru_std6	NaN	3.8E-06
	F02	FAM		Std	saltru_std6	NaN	3.8E-06
	F03	FAM		Std	saltru_std6	NaN	3.8E-06
	F04	FAM		Unkn	579	31.8334135427374	0.00223999429877526
	F05	FAM		Unkn	579	31.0642466337317	0.00381951172206154
	F06	FAM		Unkn	579	33.0298801504831	0.000976639981564467
	F07	FAM		Unkn	580	31.7535854590932	0.00236755594687435
	F08	FAM		Unkn	580	31.6525957494758	0.00253939281793115
	F09	FAM		Unkn	580	31.8101997717412	0.00227636318089214
	G04	FAM		Unkn	582	32.0638971577627	0.00190896919473313
	G05	FAM		Unkn	582	32.6706407372273	0.00125307898398343
	G06	FAM		Unkn	582	30.7617646752696	0.00471139986704157
	G07	FAM		Unkn	583	32.999594212109	0.000997378687097676
	G08	FAM		Unkn	583	33.6599696611654	0.000630782395673245
	G09	FAM		Unkn	583	31.7027216934008	0.00245259719259316
	H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM		Unkn	586	30.142712083226	0.00723901238908677
	H05	FAM		Unkn	586	29.7305996697882	0.00963506511581942
	H06	FAM		Unkn	586	27.7004022853493	0.0394077839833697
	H07	FAM		Unkn	587	NaN	NaN
	H08	FAM		Unkn	587	30.0322158115665	0.00781579966168412
	H09	FAM		Unkn	587	44.1087439710651	4.48244725498566E-07
