	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	saltru_std0	21.2861275472846	3.8
	A02	FAM		Std	saltru_std0	21.2613350440964	3.8
	A04	FAM		Unkn	567	33.7407121019807	0.000646680185937635
	A05	FAM		Unkn	567	33.2437222015376	0.000912455556401162
	A06	FAM		Unkn	569	34.6026127385882	0.000355944241862209
	A07	FAM		Unkn	569	34.6004542433108	0.000356476879088975
	A08	FAM		Unkn	569	33.5315789355973	0.000747495231564813
	A09	FAM		Unkn	589	NaN	NaN
	A10	FAM		Unkn	589	NaN	NaN
	B01	FAM		Std	saltru_std1	24.5237551964762	0.38
	B02	FAM		Std	saltru_std1	24.283529213495	0.38
	B03	FAM		Std	saltru_std1	24.3927439429032	0.38
	B04	FAM		Unkn	570	32.7562391909306	0.00127900924984193
	B05	FAM		Unkn	570	32.3345179559557	0.00171297433403591
	B06	FAM		Unkn	572	32.337827770933	0.00170905122405117
	B07	FAM		Unkn	572	32.0289150942414	0.00211686503862682
	B08	FAM		Unkn	572	32.1142400247126	0.0019953665714028
	B09	FAM		Unkn	591	NaN	NaN
	B10	FAM		Unkn	591	34.7216946036206	0.000327759684367155
	B11	FAM		Unkn	591	36.8236686161584	7.64126045168201E-05
	C01	FAM		Std	saltru_std2	27.9886636892151	0.038
	C02	FAM		Std	saltru_std2	27.9941103487508	0.038
	C03	FAM		Std	saltru_std2	28.0010899600709	0.038
	C04	FAM		Unkn	573	31.4305135097183	0.00320424417223802
	C05	FAM		Unkn	573	31.2471627425401	0.00363820944907772
	C06	FAM		Unkn	575	31.9946160257882	0.00216776517521798
	C07	FAM		Unkn	575	32.1518766956262	0.00194401446076432
	C08	FAM		Unkn	575	32.2801675095158	0.00177869911450626
	C09	FAM		Unkn	592	NaN	NaN
	C10	FAM		Unkn	592	NaN	NaN
	D03	FAM		Std	saltru_std3	31.121860490855	0.0038
	D04	FAM		Unkn	576	30.1890855379955	0.00757209559004699
	D05	FAM		Unkn	576	30.3528131332656	0.00676017180719531
	D06	FAM		Unkn	578	33.7437934318588	0.000645301269278476
	D07	FAM		Unkn	578	33.2563529215914	0.000904506512269552
	D08	FAM		Unkn	578	33.5135827098936	0.0007568724386376
	D09	FAM		Unkn	594	NaN	NaN
	D10	FAM		Unkn	594	NaN	NaN
	D11	FAM		Unkn	594	NaN	NaN
	E01	FAM		Std	saltru_std4	34.4563789521981	0.00038
	E04	FAM		Neg Ctrl	585	NaN	NaN
	E05	FAM		Neg Ctrl	585	NaN	NaN
	E06	FAM		Neg Ctrl	585	NaN	NaN
	E07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E10	FAM		Neg Ctrl	595	NaN	NaN
	E11	FAM		Neg Ctrl	595	NaN	NaN
	E12	FAM		Neg Ctrl	595	NaN	NaN
	F04	FAM		Unkn	579	33.3053293563896	0.00087433299180244
	F05	FAM		Unkn	579	32.4336043387267	0.00159933767733054
	F06	FAM		Unkn	581	33.4168817867779	0.000809311477225565
	F07	FAM		Unkn	581	34.2133030254444	0.000466130967467805
	F08	FAM		Unkn	581	34.3244529980252	0.000431586519462491
	G01	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G02	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G03	FAM		Neg Ctrl	nc_ext	NaN	NaN
	G04	FAM		Unkn	582	33.120570179289	0.000993716928935749
	G05	FAM		Unkn	582	32.4892240434508	0.00153888679176277
	G06	FAM		Unkn	584	35.317128003367	0.000216978196353109
	G07	FAM		Unkn	584	34.0928449933275	0.000506697104787783
	G08	FAM		Unkn	584	33.4114405458145	0.000812367848668036
	H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM		Unkn	586	40.8936531842499	4.5570898498713E-06
	H05	FAM		Unkn	586	33.2318142154195	0.000920013719633739
	H06	FAM		Unkn	588	34.2802549646956	0.000445005208712457
	H07	FAM		Unkn	588	35.6588717659693	0.000171238174755609
	H08	FAM		Unkn	588	33.4446226422561	0.000793907142713432
