	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	FAM		Std	saltru_std1		24.1696829573926	24.1696829573926	0	0.38	-0.42021640338319	0.38	0	60	
	A04	FAM		Unkn	567		31.5786547261906	31.5786547261906	0	0.00267306407622111	-2.57299063061282	0.00267306407622111	0	60	
	A05	FAM		Unkn	567		31.6228370968927	31.6228370968927	0	0.00259236764485879	-2.58630340758109	0.00259236764485879	0	60	
	A06	FAM		Unkn	567		31.0735416771896	31.0735416771896	0	0.0037949592633313	-2.4207928816408	0.0037949592633313	0	60	
	A07	FAM		Unkn	568		31.0067520734362	31.0067520734362	0	0.0039749509719405	-2.40066822367343	0.0039749509719405	0	60	
	A08	FAM		Unkn	568		31.7078126889107	31.7078126889107	0	0.00244394955458582	-2.61190776258297	0.00244394955458582	0	60	
	A09	FAM		Unkn	568		31.6530890703701	31.6530890703701	0	0.0025385238166701	-2.59541875764843	0.0025385238166701	0	60	
	A10	FAM		Unkn	589		NaN	0	0	NaN	NaN	0	0	60	
	A11	FAM		Unkn	589		NaN	0	0	NaN	NaN	0	0	60	
	A12	FAM		Unkn	589		NaN	0	0	NaN	NaN	0	0	60	
	B01	FAM		Std	saltru_std2		28.0021908707321	28.0021908707321	0	0.038	-1.42021640338319	0.038	0	60	
	B03	FAM		Std	saltru_std2		28.03219019795	28.03219019795	0	0.038	-1.42021640338319	0.038	0	60	
	B04	FAM		Unkn	570		30.9080754557943	30.9080754557943	0	0.00425661572705572	-2.37093555469767	0.00425661572705572	0	60	
	B05	FAM		Unkn	570		30.8321168689836	30.8321168689836	0	0.00448695638802466	-2.34804815166868	0.00448695638802466	0	60	
	B06	FAM		Unkn	570		30.8737539011873	30.8737539011873	0	0.00435919220267594	-2.36059398192948	0.00435919220267594	0	60	
	B07	FAM		Unkn	571		30.9793250727318	30.9793250727318	0	0.00405131415958135	-2.39240407809944	0.00405131415958135	0	60	
	B08	FAM		Unkn	571		30.6790901093671	30.6790901093671	0	0.00498954551260969	-2.30193901156197	0.00498954551260969	0	60	
