	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	9.67 ng/uL	17.1038872197269	9.67
	A02	FAM		Std	9.67 ng/uL	17.3901052890366	9.67
	A03	FAM		Std	9.67 ng/uL	17.4154684542723	9.67
	A04	FAM		Unkn	559	36.0048884817645	5.60693364975334E-05
	A05	FAM		Unkn	559	35.6771891430957	6.99919242899717E-05
	A06	FAM		Unkn	559	NaN	NaN
	A07	FAM		Unkn	559	NaN	NaN
	A08	FAM		Unkn	559	37.1807629268293	2.52984551579862E-05
	A09	FAM		Unkn	559	NaN	NaN
	A10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	A11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	A12	FAM		Neg Ctrl	NC Plate	NaN	NaN
	B01	FAM		Std	0.73 ng/uL	21.5146076891912	0.73
	B02	FAM		Std	0.73 ng/uL	21.2570499685719	0.73
	B03	FAM		Std	0.73 ng/uL	21.2762552173314	0.73
	B04	FAM		Unkn	560	NaN	NaN
	B05	FAM		Unkn	560	NaN	NaN
	B06	FAM		Unkn	560	33.6533552475884	0.000275375220391638
	B07	FAM		Unkn	560	36.1279054946045	5.15900954856811E-05
	B08	FAM		Unkn	560	43.1386883012724	4.48587695175983E-07
	B09	FAM		Unkn	560	34.7304280716901	0.000132841802901622
	B10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	B11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	B12	FAM		Neg Ctrl	NC Plate	NaN	NaN
	C01	FAM		Std	49 pg/uL	27.072405026331	0.049
	C02	FAM		Std	49 pg/uL	27.1251798010602	0.049
	C03	FAM		Std	49 pg/uL	27.3622761350828	0.049
	C04	FAM		Unkn	561	36.1204335308396	5.18516532615398E-05
	C05	FAM		Unkn	561	35.3611216277343	8.66864949368307E-05
	C06	FAM		Unkn	561	35.1941827327902	9.70556304717654E-05
	C07	FAM		Unkn	561	34.1364317799639	0.00019857814296454
	C08	FAM		Unkn	561	35.682506115954	6.97405046886529E-05
	C09	FAM		Unkn	561	35.1617681087631	9.92084235369715E-05
	C10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	C11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	C12	FAM		Neg Ctrl	NC Plate	NaN	NaN
	D01	FAM		Std	7.6 pg/uL	29.5122965905165	0.0076
	D02	FAM		Std	7.6 pg/uL	29.2992266775774	0.0076
	D03	FAM		Std	7.6 pg/uL	29.5022549516377	0.0076
	D04	FAM		Unkn	562	NaN	NaN
	D05	FAM		Unkn	562	36.7203685923467	3.45477929522864E-05
	D06	FAM		Unkn	562	36.4389265078697	4.17971018194058E-05
	D07	FAM		Unkn	562	NaN	NaN
	D08	FAM		Unkn	562	NaN	NaN
	D09	FAM		Unkn	562	NaN	NaN
	D10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	D11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	E01	FAM		Std	0.76 pg/uL	32.8273400976404	0.00076
	E02	FAM		Std	0.76 pg/uL	32.5926579006463	0.00076
	E03	FAM		Std	0.76 pg/uL	33.14436784379	0.00076
	E04	FAM		Unkn	563	NaN	NaN
	E05	FAM		Unkn	563	NaN	NaN
	E06	FAM		Unkn	563	35.9937252732993	5.64945666607232E-05
	E07	FAM		Unkn	563	37.4165225971807	2.15673025565559E-05
	E08	FAM		Unkn	563	NaN	NaN
	E09	FAM		Unkn	563	NaN	NaN
	E10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	E11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	F01	FAM		Std	76 fg/uL	37.0944798640548	7.6E-05
	F02	FAM		Std	76 fg/uL	35.5834553105125	7.6E-05
	F03	FAM		Std	76 fg/uL	36.0630493446373	7.6E-05
	F04	FAM		Unkn	564	36.4343323867775	4.19272661280864E-05
	F05	FAM		Unkn	564	34.8013782014175	0.000126613492610404
	F06	FAM		Unkn	564	34.1146236888918	0.000201530888849398
	F07	FAM		Unkn	564	38.0095539035442	1.44371939411385E-05
	F08	FAM		Unkn	564	35.403897965525	8.42127699730234E-05
	F09	FAM		Unkn	564	32.1799721854829	0.000746456768366526
	F10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	F11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	G01	FAM		Std	7.6 fg/uL	36.4006403122887	7.6E-06
	G02	FAM		Std	7.6 fg/uL	NaN	7.6E-06
	G03	FAM		Std	7.6 fg/uL	36.3389898552922	7.6E-06
	G04	FAM		Unkn	565	NaN	NaN
	G05	FAM		Unkn	565	NaN	NaN
	G06	FAM		Unkn	565	NaN	NaN
	G07	FAM		Unkn	565	37.810681324802	1.65172799829797E-05
	G08	FAM		Unkn	565	NaN	NaN
	G09	FAM		Unkn	565	NaN	NaN
	G10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	G11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	H01	FAM		Neg Ctrl	NC MM	NaN	NaN
	H02	FAM		Neg Ctrl	NC MM	NaN	NaN
	H03	FAM		Neg Ctrl	NC MM	NaN	NaN
	H04	FAM		Unkn	566	NaN	NaN
	H05	FAM		Unkn	566	NaN	NaN
	H06	FAM		Unkn	566	NaN	NaN
	H07	FAM		Unkn	566	NaN	NaN
	H08	FAM		Unkn	566	NaN	NaN
	H09	FAM		Unkn	566	35.4457776632448	8.18592981279765E-05
	H10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	H11	FAM		Neg Ctrl	NC Plate	NaN	NaN
