Well	Target	Content	Sample	Cq	SQ
A01	NA	Std	0.2 ng/uL	24.0589615718506	0.2
A02	NA	Std	0.2 ng/uL	23.8896093874298	0.2
A03	NA	Std	0.2 ng/uL	23.8305326911992	0.2
A04		Unkn		NaN	NaN
A05		Unkn		NaN	NaN
A06		Unkn		NaN	NaN
A07	NA	Unkn	567	31.2402626744531	0.00140466053523694
A08		Unkn		NaN	NaN
A09	NA	Unkn	568	31.147366741679	0.00149743640727958
A10	NA	Unkn	568	31.9590314835619	0.000856349041892204
A11	NA	Unkn	569	32.042186222055	0.000808698325608716
A12	NA	Unkn	569	33.4288075791949	0.00031129345686932
B01	NA	Std	0.02 ng/uL	27.3968012761396	0.02
B02	NA	Std	0.02 ng/uL	27.3294101758463	0.02
B03	NA	Std	0.02 ng/uL	27.5009654613421	0.02
B04		Unkn		NaN	NaN
B05		Unkn		NaN	NaN
B06		Unkn		NaN	NaN
B07	NA	Unkn	570	30.2206158668751	0.0028343801967965
B08		Unkn		NaN	NaN
B09	NA	Unkn	571	30.4691198998107	0.00238864931583168
B10	NA	Unkn	571	30.4086678550358	0.00249016592942099
B11	NA	Unkn	572	29.4730931993298	0.00474216238132339
B12	NA	Unkn	572	30.1032645082462	0.0030728940049889
C01	NA	Std	0.002 ng/uL	30.4263970353709	0.002
C02	NA	Std	0.002 ng/uL	30.4586766854875	0.002
C03	NA	Std	0.002 ng/uL	31.3019215121542	0.002
C04		Unkn		NaN	NaN
C05		Unkn		NaN	NaN
C06		Unkn		NaN	NaN
C07	NA	Unkn	573	29.5573920861183	0.00447476296070883
C08	NA	Unkn	573	30.0001244516011	0.00329904093353652
C09	NA	Unkn	574	30.1226872058247	0.003032075133624
C10	NA	Unkn	574	30.0151766017847	0.00326502814476339
C11	NA	Unkn	575	30.057363872921	0.0031715562993834
C12	NA	Unkn	575	30.0979811329917	0.00308409234405105
D01	NA	Std	0.0002 ng/uL	34.1670279501113	0.0002
D02	NA	Std	0.0002 ng/uL	35.2601836934239	0.0002
D03	NA	Std	0.0002 ng/uL	33.8817790307159	0.0002
D04		Unkn		NaN	NaN
D05		Unkn		NaN	NaN
D06		Unkn		NaN	NaN
D07	NA	Unkn	576	29.2707955866588	0.00545087036073797
D08	NA	Unkn	576	29.2650691298414	0.00547240376548053
D09	NA	Unkn	577	31.3260020950742	0.00132414107422417
D10	NA	Unkn	577	31.261772840725	0.00138401112481656
D11	NA	Unkn	578	33.0686560395955	0.000398895977856391
D12	NA	Unkn	578	31.7338794185666	0.000999940148267591
E02	NA	Std	0.00002 ng/uL	NaN	2E-05
E03	NA	Std	0.00002 ng/uL	36.5719189512427	2E-05
E04		Unkn		NaN	NaN
E05		Unkn		NaN	NaN
E06		Unkn		NaN	NaN
E07	NA	Unkn	579	31.8857084823787	0.00090068987370382
E08	NA	Unkn	579	31.8129660240395	0.000946948051298257
E09	NA	Unkn	580	31.9066466782623	0.000887798703240229
E10	NA	Unkn	580	32.3487030919883	0.000654838633654578
E11	NA	Unkn	581	33.2930613633893	0.000341790314819239
E12	NA	Unkn	581	33.016759949248	0.000413406419077927
F01	NA	Unkn	pltH2O	NaN	NaN
F02	NA	Unkn	pltH2O	NaN	NaN
F03	NA	Unkn	pltH2O	NaN	NaN
F04		Unkn		NaN	NaN
F05		Unkn		NaN	NaN
F06		Unkn		NaN	NaN
F07	NA	Unkn	582	34.0325641509793	0.000205418463854847
F08	NA	Unkn	582	35.1210090255223	9.70915197699849E-05
F09	NA	Unkn	583	33.8531643358835	0.000232424652895042
F10	NA	Unkn	583	34.935805260128	0.000110295924251215
F11	NA	Unkn	584	34.8976898817541	0.000113228674497582
F12	NA	Unkn	584	33.3876919132227	0.000320231517613717
G01	NA	Unkn	585	NaN	NaN
G02	NA	Unkn	585	36.0035330885446	5.28805463521665E-05
G03	NA	Unkn	585	NaN	NaN
G04		Unkn		NaN	NaN
G05		Unkn		NaN	NaN
G06		Unkn		NaN	NaN
G07		Unkn		NaN	NaN
G08		Unkn		NaN	NaN
G09	NA	Neg Ctrl	pltH2O	NaN	NaN
G10	NA	Neg Ctrl	pltH2O	NaN	NaN
G11		Unkn		NaN	NaN
G12		Unkn		NaN	NaN
H01	NA	Neg Ctrl	MMNC	NaN	NaN
H02	NA	Neg Ctrl	MMNC	NaN	NaN
H03	NA	Neg Ctrl	MMNC	NaN	NaN
H04		Unkn		NaN	NaN
H05		Unkn		NaN	NaN
H06		Unkn		NaN	NaN
H07	NA	Unkn	586	NaN	NaN
H08		Unkn		NaN	NaN
H09	NA	Unkn	587	NaN	NaN
H10		Unkn		NaN	NaN
H11	NA	Unkn	588	NaN	NaN
H12	NA	Unkn	588	NaN	NaN
