Well	Fluor	Target	Content	Sample	Cq	SQ	tech_rep
A01	FAM		Std		23.22663712	0.15	
A02	FAM		Std		23.21835317	0.15	
A03	FAM		Std		23.17797878	0.15	
A04	FAM		Unkn	567	NaN	NaN	4
A05	FAM		Unkn	567	NaN	NaN	5
A06	FAM		Unkn	567	40.09051163	1.46E-06	6
A07	FAM		Unkn	568	39.11694972	2.95E-06	4
A08	FAM		Unkn	568	NaN	NaN	5
A09	FAM		Unkn	568	NaN	NaN	6
A10	FAM		Neg Ctrl	595	NaN	NaN	
B01	FAM		Std		27.74692742	0.015	
B02	FAM		Std		27.61980028	0.015	
B03	FAM		Std		27.4865202	0.015	
B04	FAM		Unkn	570	35.3568235	4.44E-05	4
B05	FAM		Unkn	570	36.02503552	2.74E-05	5
B06	FAM		Unkn	570	37.3987673	1.02E-05	6
B07	FAM		Unkn	571	37.48232699	9.60E-06	4
B08	FAM		Unkn	571	38.59322172	4.31E-06	5
B09	FAM		Unkn	571	37.04573812	1.31E-05	6
C01	FAM		Std		31.1626137	0.0015	
C02	FAM		Std		31.11168731	0.0015	
C03	FAM		Std		31.04380035	0.0015	
C04	FAM		Unkn	573	37.22854574	1.15E-05	4
C05	FAM		Unkn	573	38.66959945	4.08E-06	5
C06	FAM		Unkn	573	NaN	NaN	6
C07	FAM		Unkn	574	37.18610351	1.19E-05	4
C08	FAM		Unkn	574	37.14584023	1.22E-05	5
C09	FAM		Unkn	574	39.12227671	2.94E-06	6
D01	FAM		Std		34.12227927	0.00015	
D02	FAM		Std		34.06051599	0.00015	
D03	FAM		Std		34.09738057	0.00015	
D04	FAM		Unkn	576	36.9286306	1.43E-05	4
D05	FAM		Unkn	576	36.57198653	1.85E-05	5
D06	FAM		Unkn	576	NaN	NaN	6
D07	FAM		Unkn	577	39.12980091	2.93E-06	4
D08	FAM		Unkn	577	39.02341722	3.16E-06	5
D09	FAM		Unkn	577	38.70888226	3.96E-06	6
E02	FAM		Std		36.58411066	1.50E-05	
E03	FAM		Std		38.04414989	1.50E-05	
E04	FAM		Neg Ctrl	585	NaN	NaN	
E05	FAM		Neg Ctrl	585	NaN	NaN	
E06	FAM		Neg Ctrl	595	NaN	NaN	
E07	FAM		Neg Ctrl	Plate NC	NaN	NaN	
E08	FAM		Neg Ctrl	Plate NC	NaN	NaN	
E09	FAM		Neg Ctrl	Plate NC	NaN	NaN	
F01	FAM		Std		38.80072112	1.50E-06	
F02	FAM		Std		NaN	1.50E-06	
F03	FAM		Std		38.86742145	1.50E-06	
F04	FAM		Unkn	579	34.04251423	0.000114576	4
F05	FAM		Unkn	579	33.59767073	0.000157893	5
F06	FAM		Unkn	579	34.19249457	0.000102835	6
F07	FAM		Unkn	580	NaN	NaN	4
F08	FAM		Unkn	580	35.56358725	3.83E-05	5
F09	FAM		Unkn	580	35.85550367	3.10E-05	6
G01	FAM		Std		NaN	1.50E-07	
G02	FAM		Std		NaN	1.50E-07	
G03	FAM		Std		NaN	1.50E-07	
G04	FAM		Unkn	582	36.39118601	2.11E-05	4
G05	FAM		Unkn	582	38.55012559	4.45E-06	5
G06	FAM		Unkn	582	40.06889299	1.49E-06	6
G07	FAM		Unkn	583	39.10584897	2.98E-06	4
G08	FAM		Unkn	583	NaN	NaN	5
G09	FAM		Unkn	583	39.22165814	2.74E-06	6
H01	FAM		Neg Ctrl		NaN	NaN	
H02	FAM		Neg Ctrl		NaN	NaN	
H03	FAM		Neg Ctrl		NaN	NaN	
H04	FAM		Unkn	592	39.29633172	2.60E-06	4
H05	FAM		Unkn	592	NaN	NaN	5
H06	FAM		Neg Ctrl	Plate NC	NaN	NaN	
H07	FAM		Unkn	593	NaN	NaN	4
H08	FAM		Unkn	593	39.27914271	2.63E-06	5
H09	FAM		Neg Ctrl	Plate NC	NaN	NaN	
