	Data Set	Target	Sample	Control	Relative Quantity	Relative Quantity(lg)	Relative Quantity SD	Corrected Relative Quantity SD	SD RQ(lg)	Relative Quantity SEM	Corrected Relative Quantity SEM	SEM RQ(lg)	Relative Quantity 95% CI Low	Relative Quantity 95% CI High	Unscaled Expression	Unscaled Expression(lg)	Unscaled Expression SD	Corrected Unscaled Expression SD	SD Unscaled Expression(lg)	Unscaled Expression SEM	Corrected Unscaled Expression SEM	SEM Unscaled Expression(lg)	Expression	Expression(lg)	Expression SD	Corrected Expression SD	SD Expression(lg)	Expression SEM	Corrected Expression SEM	SEM Expression(lg)	Expression 95% CI Low	Expression 95% CI High	Wells	Mean Cq	Cq SD	Cq SEM	P-Value
	1-SYBR	NA	567		0.00606111020378559	-7.36620221063419	0	0.000451924736586161	NaN	0	0.000451924736586161	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	31.6444235656451	0	0	NaN
	1-SYBR	NA	568		0.00506736040909801	-7.6245498424353	0.00189482933988288	0.00193476672519859	NaN	0.00133984667542242	0.00136808667140201	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	31.9020148881003	0.537885193686355	0.380342267955461	NaN
	1-SYBR	NA	569		0.00211235406070089	-8.88693261340979	0.0015909468543312	0.001602253962928	NaN	0.001124969309205	0.00113296464236941	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	33.1607020498637	1.08340351727187	0.766081973824299	NaN
	1-SYBR	NA	570		0.0124932870815957	-6.32270307852941	0	0.000799557688030971	NaN	0	0.000799557688030971	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	30.6039792637337	0	0	NaN
	1-SYBR	NA	571		0.00995451386313208	-6.65043342219433	0.000205244279193514	0.000700828537827422	NaN	0.000145129621617479	0.000495560611546823	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	30.9307501810624	0.0296587120729502	0.0209718764280424	NaN
	1-SYBR	NA	572		0.0165492227407635	-5.91709272950226	0.00379189977563407	0.00391930588688764	NaN	0.0026812780449306	0.0027713677701626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	30.1995563337496	0.329594936776632	0.233058814839508	NaN
	1-SYBR	NA	573		0.0168383536113063	-5.89210510558186	0.00209335021076111	0.00232177227832076	NaN	0.00148022212942747	0.00164174092237155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	30.1746418607746	0.178831305804338	0.126452829022693	NaN
	1-SYBR	NA	574		0.0144080802903618	-6.11697806384377	0.0010119704984071	0.00134904631771915	NaN	0.000715571201784389	0.00095391979939395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	30.3988565063639	0.101032945551561	0.0714410809227601	NaN
	1-SYBR	NA	575		0.0141634566713522	-6.14168278353284	0.000375434957488246	0.000957195383901259	NaN	0.000265472604334422	0.000676839346877041	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	30.423488903306	0.0381299936310368	0.026961977063106	NaN
	1-SYBR	NA	576		0.0237862772062467	-5.39372669675741	0.000185291374564436	0.001311783109788	NaN	0.000131020787449889	0.000927570732377071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	29.6777224482868	0.0112054682679856	0.00792346259866328	NaN
