	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	SYBR	NA	Std	salsal_std1		24.4142482759161	24.4142482759161	0	0.54	-0.267606240177031	0.54	0	64	
	A02	SYBR	NA	Std	salsal_std1		24.2649553913537	24.2649553913537	0	0.54	-0.267606240177031	0.54	0	64	
	A03	SYBR	NA	Std	salsal_std1		24.2201537824468	24.2201537824468	0	0.54	-0.267606240177031	0.54	0	64	
	A04	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	A05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	A06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	A07	SYBR	NA	Unkn	567		31.6444235656451	31.6444235656451	0	0.00347360648355505	-2.45921938326968	0.00347360648355505	0	64	
	A08	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	A09	SYBR	NA	Unkn	568		31.5216726201449	31.5216726201449	0	0.00378303907033099	-2.42215917339361	0.00378303907033099	0	64	
	A10	SYBR	NA	Unkn	568		32.2823571560558	32.2823571560558	0	0.00222935707044386	-2.65182036610753	0.00222935707044386	0	64	
	A11	SYBR	NA	Unkn	569		32.3946200760394	32.3946200760394	0	0.00206198691082425	-2.68571409587832	0.00206198691082425	0	64	
	A12	SYBR	NA	Unkn	569		33.926784023688	33.926784023688	0	0.000710729588873403	-3.14829560376828	0.000710729588873403	0	64	
	B01	SYBR	NA	Std	salsal_std2		27.8308729809777	27.8308729809777	0	0.054	-1.26760624017703	0.054	0	64	
	B02	SYBR	NA	Std	salsal_std2		27.7399414580467	27.7399414580467	0	0.054	-1.26760624017703	0.054	0	64	
	B03	SYBR	NA	Std	salsal_std2		27.9609252020863	27.9609252020863	0	0.054	-1.26760624017703	0.054	0	64	
	B04	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	B05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	B06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	B07	SYBR	NA	Unkn	570		30.6039792637337	30.6039792637337	0	0.00715987031228057	-2.14509484405681	0.00715987031228057	0	64	
	B08	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	B09	SYBR	NA	Unkn	571		30.9517220574905	30.9517220574905	0	0.00562233594789785	-2.25008320782868	0.00562233594789785	0	64	
	B10	SYBR	NA	Unkn	571		30.9097783046344	30.9097783046344	0	0.00578868865783337	-2.23741980814975	0.00578868865783337	0	64	
	B11	SYBR	NA	Unkn	572		29.9664975189101	29.9664975189101	0	0.0111524355040981	-1.95263027965732	0.0111524355040981	0	64	
	B12	SYBR	NA	Unkn	572		30.4326151485892	30.4326151485892	0	0.00806570538908205	-2.09335764523848	0.00806570538908205	0	64	
	C01	SYBR	NA	Std	salsal_std3		30.9193272123169	30.9193272123169	0	0.0054	-2.26760624017703	0.0054	0	64	
	C02	SYBR	NA	Std	salsal_std3		30.9921968345932	30.9921968345932	0	0.0054	-2.26760624017703	0.0054	0	64	
	C04	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	C05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	C06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	C07	SYBR	NA	Unkn	573		30.0481890317519	30.0481890317519	0	0.0105367317003728	-1.97729407836513	0.0105367317003728	0	64	
	C08	SYBR	NA	Unkn	573		30.3010946897973	30.3010946897973	0	0.0088379227687868	-2.05364979788985	0.0088379227687868	0	64	
	C09	SYBR	NA	Unkn	574		30.4702975872866	30.4702975872866	0	0.00785715833180105	-2.10473449517703	0.00785715833180105	0	64	
	C10	SYBR	NA	Unkn	574		30.3274154254411	30.3274154254411	0	0.00867767953383172	-2.06159639237901	0.00867767953383172	0	64	
	C11	SYBR	NA	Unkn	575		30.3965269262429	30.3965269262429	0	0.00827061659921061	-2.08246211128756	0.00827061659921061	0	64	
	C12	SYBR	NA	Unkn	575		30.4504508803691	30.4504508803691	0	0.00796631546488984	-2.09874249959024	0.00796631546488984	0	64	
	D03	SYBR	NA	Std	salsal_std4		34.2476104256664	34.2476104256664	0	0.00054	-3.26760624017703	0.00054	0	64	
	D04	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	D05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	D06	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	64	
	D07	SYBR	NA	Unkn	576		29.6697989856881	29.6697989856881	0	0.0137071484157531	-1.86305288482486	0.0137071484157531	0	64	
	D08	SYBR	NA	Unkn	576		29.6856459108855	29.6856459108855	0	0.0135569723117411	-1.86783729093522	0.0135569723117411	0	64	
	D09	SYBR	NA	Unkn	577		31.8270119634835	31.8270119634835	0	0.00305952954613759	-2.51434534842825	0.00305952954613759	0	64	
	D10	SYBR	NA	Unkn	577		31.6891861474091	31.6891861474091	0	0.00336717876262514	-2.4727338264213	0.00336717876262514	0	64	
	D11	SYBR	NA	Unkn	578		33.3865695557509	33.3865695557509	0	0.0010346718251949	-2.98519737688084	0.0010346718251949	0	64	
