	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	SYBR	NA	Std	salsal_std1	24.4142482759161	0.54
	A02	SYBR	NA	Std	salsal_std1	24.2649553913537	0.54
	A03	SYBR	NA	Std	salsal_std1	24.2201537824468	0.54
	A04	SYBR		Unkn		NaN	NaN
	A05	SYBR		Unkn		NaN	NaN
	A06	SYBR		Unkn		NaN	NaN
	A07	SYBR	NA	Unkn	567	31.6444235656451	0.00347360648355505
	A08	SYBR		Unkn		NaN	NaN
	A09	SYBR	NA	Unkn	568	31.5216726201449	0.00378303907033099
	A10	SYBR	NA	Unkn	568	32.2823571560558	0.00222935707044386
	A11	SYBR	NA	Unkn	569	32.3946200760394	0.00206198691082425
	A12	SYBR	NA	Unkn	569	33.926784023688	0.000710729588873403
	B01	SYBR	NA	Std	salsal_std2	27.8308729809777	0.054
	B02	SYBR	NA	Std	salsal_std2	27.7399414580467	0.054
	B03	SYBR	NA	Std	salsal_std2	27.9609252020863	0.054
	B04	SYBR		Unkn		NaN	NaN
	B05	SYBR		Unkn		NaN	NaN
	B06	SYBR		Unkn		NaN	NaN
	B07	SYBR	NA	Unkn	570	30.6039792637337	0.00715987031228057
	B08	SYBR		Unkn		NaN	NaN
	B09	SYBR	NA	Unkn	571	30.9517220574905	0.00562233594789785
	B10	SYBR	NA	Unkn	571	30.9097783046344	0.00578868865783337
	B11	SYBR	NA	Unkn	572	29.9664975189101	0.0111524355040981
	B12	SYBR	NA	Unkn	572	30.4326151485892	0.00806570538908205
	C01	SYBR	NA	Std	salsal_std3	30.9193272123169	0.0054
	C02	SYBR	NA	Std	salsal_std3	30.9921968345932	0.0054
	C04	SYBR		Unkn		NaN	NaN
	C05	SYBR		Unkn		NaN	NaN
	C06	SYBR		Unkn		NaN	NaN
	C07	SYBR	NA	Unkn	573	30.0481890317519	0.0105367317003728
	C08	SYBR	NA	Unkn	573	30.3010946897973	0.0088379227687868
	C09	SYBR	NA	Unkn	574	30.4702975872866	0.00785715833180105
	C10	SYBR	NA	Unkn	574	30.3274154254411	0.00867767953383172
	C11	SYBR	NA	Unkn	575	30.3965269262429	0.00827061659921061
	C12	SYBR	NA	Unkn	575	30.4504508803691	0.00796631546488984
	D03	SYBR	NA	Std	salsal_std4	34.2476104256664	0.00054
	D04	SYBR		Unkn		NaN	NaN
	D05	SYBR		Unkn		NaN	NaN
	D06	SYBR		Unkn		NaN	NaN
	D07	SYBR	NA	Unkn	576	29.6697989856881	0.0137071484157531
	D08	SYBR	NA	Unkn	576	29.6856459108855	0.0135569723117411
	D09	SYBR	NA	Unkn	577	31.8270119634835	0.00305952954613759
	D10	SYBR	NA	Unkn	577	31.6891861474091	0.00336717876262514
	D11	SYBR	NA	Unkn	578	33.3865695557509	0.0010346718251949
	D12	SYBR	NA	Unkn	578	32.1864161978078	0.00238311794782208
	E04	SYBR		Unkn		NaN	NaN
	E05	SYBR		Unkn		NaN	NaN
	E06	SYBR		Unkn		NaN	NaN
	E07	SYBR	NA	Unkn	579	32.2327813571964	0.00230752945784251
	E08	SYBR	NA	Unkn	579	32.1944915628215	0.00236977696101858
	E09	SYBR	NA	Unkn	580	32.2441245596969	0.00228940477371222
	E10	SYBR	NA	Unkn	580	32.8270058933603	0.00152666109990915
	E11	SYBR	NA	Unkn	581	33.7458724191168	0.000805979720056489
	E12	SYBR	NA	Unkn	581	33.3596640167614	0.00105420671406149
	F01	SYBR	NA	Neg Ctrl	nc_plt	NaN	NaN
	F02	SYBR	NA	Neg Ctrl	nc_plt	NaN	NaN
	F03	SYBR	NA	Neg Ctrl	nc_plt	NaN	NaN
	F04	SYBR		Unkn		NaN	NaN
	F05	SYBR		Unkn		NaN	NaN
	F06	SYBR		Unkn		NaN	NaN
	F07	SYBR	NA	Unkn	582	34.3920859541783	0.000514308025764033
	F08	SYBR	NA	Unkn	582	35.4735357986968	0.000242503840748636
	F09	SYBR	NA	Unkn	583	34.209529606081	0.00058390149933226
	F10	SYBR	NA	Unkn	583	35.2944677458991	0.000274651354738759
	F11	SYBR	NA	Unkn	584	35.2634482494327	0.00028063831297797
	F12	SYBR	NA	Unkn	584	33.9239556661432	0.000712128417312156
	G01	SYBR	NA	Neg Ctrl	585	NaN	NaN
	G02	SYBR	NA	Neg Ctrl	585	36.7205822605739	0.000101910288180436
	G03	SYBR	NA	Neg Ctrl	585	NaN	NaN
	G04	SYBR		Unkn		NaN	NaN
	G05	SYBR		Unkn		NaN	NaN
	G06	SYBR		Unkn		NaN	NaN
	G07	SYBR		Unkn		NaN	NaN
	G08	SYBR		Unkn		NaN	NaN
	G09	SYBR	NA	Neg Ctrl	nc_plt	NaN	NaN
	G10	SYBR	NA	Neg Ctrl	nc_plt	NaN	NaN
	G11	SYBR		Unkn		NaN	NaN
	G12	SYBR		Unkn		NaN	NaN
	H01	SYBR	NA	Neg Ctrl	nc_mm	NaN	NaN
	H02	SYBR	NA	Neg Ctrl	nc_mm	NaN	NaN
	H03	SYBR	NA	Neg Ctrl	nc_mm	NaN	NaN
	H04	SYBR		Unkn		NaN	NaN
	H05	SYBR		Unkn		NaN	NaN
	H06	SYBR		Unkn		NaN	NaN
	H07	SYBR	NA	Unkn	586	NaN	NaN
	H08	SYBR		Unkn		NaN	NaN
	H09	SYBR	NA	Unkn	587	NaN	NaN
	H10	SYBR		Unkn		NaN	NaN
	H11	SYBR	NA	Unkn	588	NaN	NaN
	H12	SYBR	NA	Unkn	588	NaN	NaN
