Row,Column,*Target Name,*Sample Name
A,1,NA,0.2 ng/uL
A,2,NA,0.2 ng/uL
A,3,NA,0.2 ng/uL
A,7,NA,567
A,9,NA,568
A,10,NA,568
A,11,NA,569
A,12,NA,569
B,1,NA,0.02 ng/uL
B,2,NA,0.02 ng/uL
B,3,NA,0.02 ng/uL
B,7,NA,570
B,9,NA,571
B,10,NA,571
B,11,NA,572
B,12,NA,572
C,1,NA,0.002 ng/uL
C,2,NA,0.002 ng/uL
C,3,NA,0.002 ng/uL
C,7,NA,573
C,8,NA,573
C,9,NA,574
C,10,NA,574
C,11,NA,575
C,12,NA,575
D,1,NA,0.0002 ng/uL
D,2,NA,0.0002 ng/uL
D,3,NA,0.0002 ng/uL
D,7,NA,576
D,8,NA,576
D,9,NA,577
D,10,NA,577
D,11,NA,578
D,12,NA,578
E,1,NA,0.00002 ng/uL
E,2,NA,0.00002 ng/uL
E,3,NA,0.00002 ng/uL
E,7,NA,579
E,8,NA,579
E,9,NA,580
E,10,NA,580
E,11,NA,581
E,12,NA,581
F,1,NA,pltH2O
F,2,NA,pltH2O
F,3,NA,pltH2O
F,7,NA,582
F,8,NA,582
F,9,NA,583
F,10,NA,583
F,11,NA,584
F,12,NA,584
G,1,NA,585
G,2,NA,585
G,3,NA,585
G,9,NA,pltH2O
G,10,NA,pltH2O
H,1,NA,MMNC
H,2,NA,MMNC
H,3,NA,MMNC
H,7,NA,586
H,9,NA,587
H,11,NA,588
H,12,NA,588
